Line,Section,Block Number,Block Length (ft),Block Length (m),Block Grade (%),Speed Limit (MPH),Speed Limit (Km/Hr),Infrastructure,Station Side,ELEVATION (ft),CUMALTIVE ELEVATION (ft),seconds to traverse block,c
Green,A,1,328,100,0.5,27.961695,45,,,2640,2640,8.0,3.28084
Green,A,2,328,100,1,27.961695,45,STATION; PIONEER,Left,5280,7920,8.0,5280
Green,A,3,328,100,1.5,27.961695,45,,,7920,15840,8.0,0.62137
Green,B,4,328,100,2,27.961695,45,,,10560,26400,8.0,
Green,B,5,328,100,3,27.961695,45,,,15840,42240,8.0,
Green,B,6,328,100,4,27.961695,45,,,21120,63360,8.0,
Green,C,7,328,100,5,27.961695,45,,,26400,89760,8.0,
Green,C,8,328,100,0,27.961695,45,,,0,89760,8.0,
Green,C,9,328,100,-5,27.961695,45,STATION; EDGEBROOK,Left,-26400,63360,8.0,
Green,C,10,328,100,-4.5,27.961695,45,,,-23760,39600,8.0,
Green,C,11,328,100,-4,27.961695,45,,,-21120,18480,8.0,
Green,C,12,328,100,-3,27.961695,45,SWITCH (12-13; 1-13),,-15840,2640,8.0,
Green,D,13,492,150,0,43.49597,70,,,0,2640,7.7,
Green,D,14,492,150,0,43.49597,70,,,0,2640,7.7,
Green,D,15,492,150,0,43.49597,70,,,0,2640,7.7,
Green,D,16,492,150,0,43.49597,70,STATION,Left/Right,0,2640,7.7,
Green,E,17,492,150,0,37.28226,60,,,0,2640,9.0,
Green,E,18,492,150,0,37.28226,60,,,0,2640,9.0,
Green,E,19,492,150,0,37.28226,60,RAILWAY CROSSING,,0,2640,9.0,
Green,E,20,492,150,0,37.28226,60,,,0,2640,9.0,
Green,F,21,984,300,0,43.49597,70,,,0,2640,15.4,
Green,F,22,984,300,0,43.49597,70,STATION; WHITED,Left/Right,0,2640,15.4,
Green,F,23,984,300,0,43.49597,70,,,0,2640,15.4,
Green,F,24,984,300,0,43.49597,70,,,0,2640,15.4,
Green,F,25,656,200,0,43.49597,70,,,0,2640,10.3,
Green,F,26,328,100,0,43.49597,70,,,0,2640,5.1,
Green,F,27,164,50,0,18.64113,30,,,0,2640,6.0,
Green,F,28,164,50,0,18.64113,30,SWITCH (28-29; 150-28),,0,2640,6.0,
Green,G,29,164,50,0,18.64113,30,,,0,2640,6.0,
Green,G,30,164,50,0,18.64113,30,,,0,2640,6.0,
Green,G,31,164,50,0,18.64113,30,STATION; SOUTH BANK,Left,0,2640,6.0,
Green,G,32,164,50,0,18.64113,30,,,0,2640,6.0,
Green,H,33,164,50,0,18.64113,30,,,0,2640,6.0,
Green,H,34,164,50,0,18.64113,30,,,0,2640,6.0,
Green,H,35,164,50,0,18.64113,30,,,0,2640,6.0,
Green,I,36,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,37,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,38,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,39,164,50,0,18.64113,30,STATION; CENTRAL; UNDERDROUND,Right,0,2640,6.0,
Green,I,40,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,41,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,42,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,43,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,44,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,45,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,46,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,47,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,48,164,50,0,18.64113,30,STATION; INGLEWOOD; UNDERGROUND,Right,0,2640,6.0,
Green,I,49,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,50,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,51,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,52,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,53,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,54,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,55,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,56,164,50,0,18.64113,30,UNDERGROUND,,0,2640,6.0,
Green,I,57,164,50,0,18.64113,30,STATION; OVERBROOK; UNDERGROUND,Right,0,2640,6.0,
Green,J,58,164,50,0,18.64113,30,SWITCH TO YARD (57-yard),,0,2640,6.0,
Green,J,59,164,50,0,18.64113,30,,,0,2640,6.0,
Green,J,60,164,50,0,18.64113,30,,,0,2640,6.0,
Green,J,61,164,50,0,18.64113,30,,,0,2640,6.0,
Green,J,62,164,50,0,18.64113,30,SWITCH FROM YARD (Yard-63),,0,2640,6.0,
Green,K,63,328,100,0,43.49597,70,,,0,2640,5.1,
Green,K,64,328,100,0,43.49597,70,,,0,2640,5.1,
Green,K,65,656,200,0,43.49597,70,STATION; GLENBURY,Right,0,2640,10.3,
Green,K,66,656,200,0,43.49597,70,,,0,2640,10.3,
Green,K,67,328,100,0,24.85484,40,,,0,2640,9.0,
Green,K,68,328,100,0,24.85484,40,,,0,2640,9.0,
Green,L,69,328,100,0,24.85484,40,,,0,2640,9.0,
Green,L,70,328,100,0,24.85484,40,,,0,2640,9.0,
Green,L,71,328,100,0,24.85484,40,,,0,2640,9.0,
Green,L,72,328,100,0,24.85484,40,,,0,2640,9.0,
Green,L,73,328,100,0,24.85484,40,STATION; DORMONT,Right,0,2640,9.0,
Green,M,74,328,100,0,24.85484,40,,,0,2640,9.0,
Green,M,75,328,100,0,24.85484,40,,,0,2640,9.0,
Green,M,76,328,100,0,24.85484,40,SWITCH (76-77;77-101),,0,2640,9.0,
Green,N,77,984,300,0,43.49597,70,STATION; MT LEBANON,Left/Right,0,2640,15.4,
Green,N,78,984,300,0,43.49597,70,,,0,2640,15.4,
Green,N,79,984,300,0,43.49597,70,,,0,2640,15.4,
Green,N,80,984,300,0,43.49597,70,,,0,2640,15.4,
Green,N,81,984,300,0,43.49597,70,,,0,2640,15.4,
Green,N,82,984,300,0,43.49597,70,,,0,2640,15.4,
Green,N,83,984,300,0,43.49597,70,,,0,2640,15.4,
Green,N,84,984,300,0,43.49597,70,,,0,2640,15.4,
Green,N,85,984,300,0,43.49597,70,SWITCH (85-86; 100-85),,0,2640,15.4,
Green,O,86,328,100,0,15.534275,25,,,0,2640,14.4,
Green,O,87,284,86.6,0,15.534275,25,,,0,2640,12.5,
Green,O,88,328,100,0,15.534275,25,STATION; POPLAR,Left,0,2640,14.4,
Green,P,89,246,75,-0.5,15.534275,25,,,-1980,660,10.8,
Green,P,90,246,75,-1,15.534275,25,,,-3960,-3300,10.8,
Green,P,91,246,75,-2,15.534275,25,,,-7920,-11220,10.8,
Green,P,92,246,75,0,15.534275,25,,,0,-11220,10.8,
Green,P,93,246,75,2,15.534275,25,,,7920,-3300,10.8,
Green,P,94,246,75,1,15.534275,25,,,3960,660,10.8,
Green,P,95,246,75,0.5,15.534275,25,,,1980,2640,10.8,
Green,P,96,246,75,0,15.534275,25,STATION;   CASTLE SHANNON,Left,0,2640,10.8,
Green,P,97,246,75,0,15.534275,25,,,0,2640,10.8,
Green,Q,98,246,75,0,15.534275,25,,,0,2640,10.8,
Green,Q,99,246,75,0,15.534275,25,,,0,2640,10.8,
Green,Q,100,246,75,0,15.534275,25,,,0,2640,10.8,
Green,R,101,115,35,0,16.155646,26,,,0,2640,4.8,
Green,S,102,328,100,0,17.398388,28,,,0,2640,12.9,
Green,S,103,328,100,0,17.398388,28,,,0,2640,12.9,
Green,S,104,262,80,0,17.398388,28,,,0,2640,10.3,
Green,T,105,328,100,0,17.398388,28,STATION; DORMONT,Right,0,2640,12.9,
Green,T,106,328,100,0,17.398388,28,,,0,2640,12.9,
Green,T,107,295,90,0,17.398388,28,,,0,2640,11.6,
